Employee_ID,Age,Department,Work_Arrangement,Weekly_Hours,Productivity_Score,Years_at_Company,Education_Level,Gender,Job_Level,Satisfaction_Score,Training_Hours
366,28,IT,Remote,42,4.8,12,Bachelor,Male,Mid,3.8,34
367,57,Sales,Remote,40,5.0,2,Bachelor,Male,Mid,6.7,31
368,41,Finance,In-Office,43,6.8,11,Bachelor,Other,Entry,2.0,4
369,22,IT,Remote,48,9.4,2,Master,Male,Entry,6.7,15
370,29,Finance,Remote,40,1.6,9,High School,Male,Mid,1.9,16
371,37,Marketing,Remote,42,8.4,16,Bachelor,Male,Senior,1.9,31
372,35,IT,Remote,43,3.6,1,Bachelor,Female,Mid,7.6,37
373,33,Finance,Remote,42,5.0,16,Bachelor,Male,Mid,3.9,31
374,44,Marketing,Remote,30,1.2,15,Bachelor,Male,Entry,9.8,19
375,36,Sales,Remote,37,3.7,1,Master,Male,Entry,1.3,47
376,49,Marketing,Remote,41,5.5,19,High School,Female,Mid,5.0,1
377,55,HR,In-Office,48,1.5,5,Master,Other,Entry,2.0,19
378,23,Marketing,In-Office,41,5.4,9,Bachelor,Female,Mid,4.2,46
379,53,Marketing,In-Office,37,9.3,9,Bachelor,Female,Entry,10.0,17
380,44,HR,Remote,37,1.9,7,Bachelor,Female,Senior,9.0,0
381,43,Finance,Remote,50,7.9,0,Bachelor,Male,Entry,1.4,28
382,46,Finance,In-Office,42,4.7,12,Master,Male,Mid,6.1,28
383,43,Marketing,In-Office,41,6.9,8,Master,Female,Mid,6.8,18
384,43,HR,In-Office,45,3.3,9,Master,Male,Entry,2.9,43
385,63,HR,Remote,30,2.4,14,PhD,Male,Entry,2.3,39
386,27,Sales,In-Office,42,2.4,4,Master,Female,Entry,9.1,5
387,36,Finance,In-Office,36,1.6,15,Bachelor,Male,Senior,9.7,43
388,64,IT,Remote,34,2.7,12,Bachelor,Male,Entry,9.9,38
389,58,Finance,In-Office,37,7.0,19,Bachelor,Other,Mid,8.1,49
390,54,Finance,Remote,43,8.9,17,High School,Female,Manager,7.0,45
391,29,Sales,Remote,42,8.3,10,Master,Male,Senior,4.1,7
392,65,IT,Remote,44,7.2,8,Bachelor,Other,Entry,2.5,23
393,65,Sales,In-Office,46,2.0,15,High School,Female,Senior,1.7,19
394,26,IT,In-Office,44,3.6,1,High School,Female,Entry,7.2,13
395,60,Marketing,Remote,49,3.8,1,Bachelor,Male,Mid,8.1,4
396,25,IT,In-Office,47,3.2,11,Bachelor,Male,Senior,8.4,40
397,27,Sales,In-Office,47,5.6,7,Bachelor,Female,Mid,9.2,39
398,53,Finance,In-Office,31,5.8,8,Bachelor,Female,Mid,8.9,33
399,51,IT,In-Office,33,4.2,11,Bachelor,Female,Entry,10.0,15
400,56,IT,Remote,30,4.2,8,Bachelor,Male,Entry,3.2,44
401,61,HR,In-Office,33,8.5,9,Bachelor,Male,Mid,7.9,6
402,37,Finance,Remote,47,8.1,1,High School,Female,Entry,6.3,15
403,34,Marketing,Remote,34,3.8,15,Bachelor,Male,Manager,3.4,6
404,63,Sales,In-Office,48,9.2,19,Bachelor,Female,Senior,9.8,26
405,51,Marketing,Remote,44,9.6,6,High School,Male,Senior,9.1,13
406,40,Finance,In-Office,37,3.9,1,Bachelor,Male,Mid,2.2,13
407,38,IT,In-Office,49,4.2,0,High School,Female,Mid,1.2,43
408,40,IT,Remote,46,5.6,18,Bachelor,Female,Senior,7.2,32
409,49,Finance,Remote,30,9.5,3,Bachelor,Male,Senior,6.4,32
410,47,IT,Remote,41,8.9,1,Bachelor,Male,Mid,9.4,43
411,58,IT,Remote,48,1.9,13,Master,Female,Entry,3.1,19
412,47,IT,In-Office,44,4.5,1,Bachelor,Male,Entry,1.8,46
413,44,Sales,In-Office,38,6.0,14,PhD,Female,Mid,3.3,35
414,30,Sales,In-Office,36,5.5,11,Bachelor,Other,Mid,1.2,6
415,33,HR,Remote,31,2.7,4,Bachelor,Male,Senior,1.3,31
416,22,Marketing,Remote,38,8.7,19,Bachelor,Female,Entry,9.2,47
417,22,Finance,Remote,39,7.1,6,Bachelor,Male,Entry,4.2,2
418,55,Finance,In-Office,31,8.5,20,Bachelor,Female,Entry,4.7,38
419,53,Finance,Remote,48,8.7,9,Bachelor,Male,Entry,1.2,28
420,46,HR,In-Office,40,7.7,13,High School,Other,Entry,3.4,23
421,61,Sales,Remote,42,5.0,13,High School,Male,Mid,8.2,21
422,22,HR,In-Office,39,6.5,4,Bachelor,Male,Mid,6.5,5
423,37,Finance,In-Office,43,2.4,17,Bachelor,Other,Mid,7.8,47
424,60,Marketing,Remote,47,7.1,13,Bachelor,Female,Entry,5.0,23
425,26,IT,Remote,48,2.6,1,High School,Female,Entry,3.8,39
426,43,Sales,In-Office,38,7.2,11,Master,Male,Mid,5.3,22
427,50,Sales,In-Office,36,3.1,5,Master,Female,Senior,3.9,37
428,24,HR,Remote,32,2.1,3,Master,Male,Entry,8.6,9
429,33,Sales,Remote,49,2.5,12,Bachelor,Male,Senior,3.7,15
430,47,Finance,In-Office,35,1.0,3,Master,Female,Entry,6.9,10
431,37,Finance,Remote,50,7.5,13,Master,Male,Senior,2.2,31
432,58,HR,In-Office,31,7.6,15,Bachelor,Female,Senior,7.2,44
433,43,Finance,In-Office,35,5.6,3,Bachelor,Female,Entry,9.2,5
434,50,Marketing,Remote,32,2.5,0,Master,Female,Mid,6.5,23
435,35,HR,Remote,45,1.8,12,Bachelor,Female,Entry,6.0,32
436,49,Marketing,Remote,37,1.2,3,Bachelor,Female,Senior,9.7,50
437,26,IT,Remote,31,2.5,19,High School,Male,Mid,6.6,11
438,51,Marketing,Remote,46,9.0,17,High School,Female,Mid,3.3,26
439,26,IT,In-Office,38,3.2,5,Master,Male,Mid,3.6,37
440,33,IT,In-Office,41,4.2,2,Bachelor,Male,Senior,7.3,17
441,37,Marketing,Remote,32,1.9,12,Bachelor,Female,Entry,7.6,44
442,47,HR,Remote,40,3.0,15,High School,Female,Mid,3.7,38
443,47,Finance,Remote,30,5.7,4,Bachelor,Female,Entry,4.1,12
444,42,Finance,In-Office,42,6.5,3,Bachelor,Male,Entry,9.9,39
445,60,IT,Remote,44,3.2,20,Bachelor,Female,Mid,1.9,29
446,57,IT,Remote,34,1.5,7,Master,Male,Entry,4.6,48
447,54,HR,In-Office,50,4.5,18,High School,Female,Entry,1.6,40
448,51,Sales,In-Office,46,3.1,13,Bachelor,Female,Senior,8.4,12
449,58,Marketing,Remote,35,3.0,6,Bachelor,Female,Entry,1.8,33
450,44,IT,Remote,50,9.6,13,Bachelor,Male,Mid,7.1,35
451,31,Finance,Remote,40,6.5,5,Master,Male,Entry,1.5,29
452,26,HR,In-Office,47,6.0,11,Master,Male,Entry,7.1,24
453,57,Marketing,Remote,33,4.7,15,Master,Female,Entry,8.6,1
454,55,HR,Remote,32,4.9,16,High School,Female,Mid,4.6,35
455,52,Marketing,Remote,42,5.9,12,High School,Male,Mid,5.7,17
456,31,Marketing,In-Office,38,7.3,13,Bachelor,Female,Entry,4.6,4
457,40,IT,In-Office,50,7.3,6,Bachelor,Female,Entry,3.7,18
458,53,HR,Remote,35,2.5,13,Master,Female,Senior,8.2,41
459,22,HR,Remote,41,5.5,14,Master,Female,Entry,3.4,17
460,26,Finance,In-Office,31,4.7,11,Master,Female,Senior,7.5,31
461,25,Finance,In-Office,32,8.8,16,Master,Male,Entry,2.9,20
462,37,IT,In-Office,32,6.7,8,Master,Male,Mid,3.2,9
463,45,IT,In-Office,41,5.8,14,Bachelor,Male,Entry,4.0,36
464,37,Sales,In-Office,44,2.0,11,Bachelor,Other,Senior,6.3,48
465,23,Finance,In-Office,38,6.5,1,Bachelor,Female,Mid,5.1,21
466,49,Marketing,In-Office,37,2.1,4,High School,Female,Mid,7.7,12
467,53,HR,In-Office,40,4.0,12,High School,Male,Entry,2.9,16
468,48,IT,In-Office,45,2.3,19,Bachelor,Male,Mid,1.1,8
469,41,HR,Remote,33,7.2,7,Master,Male,Mid,8.0,23
470,45,HR,Remote,30,2.9,13,High School,Male,Entry,8.4,43
471,33,Sales,Remote,36,4.5,14,Master,Female,Entry,1.5,13
472,56,Finance,In-Office,31,9.1,10,Master,Other,Senior,6.5,45
473,54,IT,Remote,34,2.8,0,Bachelor,Female,Entry,4.4,7
474,54,HR,In-Office,36,5.6,20,High School,Female,Mid,8.1,36
475,64,IT,In-Office,33,4.8,2,High School,Male,Mid,8.9,18
476,58,Marketing,Remote,34,1.2,16,Master,Male,Senior,8.7,27
477,33,Sales,In-Office,30,8.1,18,Master,Male,Senior,8.0,45
478,24,Marketing,Remote,30,1.6,13,Master,Female,Manager,3.4,40
479,22,IT,Remote,44,5.3,7,Bachelor,Female,Entry,8.3,29
480,54,IT,Remote,49,6.0,12,High School,Male,Senior,5.8,6
481,61,Finance,In-Office,48,6.7,19,High School,Male,Entry,1.5,25
482,31,HR,Remote,39,7.2,2,Master,Male,Mid,5.1,39
483,64,HR,In-Office,47,3.3,4,High School,Male,Mid,9.5,45
484,65,Marketing,Remote,32,1.1,8,Bachelor,Male,Entry,9.0,45
485,50,Sales,Remote,40,7.5,5,Bachelor,Male,Senior,1.9,10
486,34,HR,Remote,44,5.8,1,High School,Male,Entry,7.7,13
487,33,Finance,In-Office,40,8.5,12,Bachelor,Female,Mid,8.3,20
488,52,Marketing,In-Office,46,8.4,4,Bachelor,Female,Senior,3.4,7
489,23,Marketing,In-Office,46,8.6,7,Bachelor,Male,Senior,5.2,2
490,56,Finance,Remote,35,5.4,0,High School,Male,Entry,7.4,27
491,44,Sales,Remote,34,4.0,19,Master,Male,Mid,5.0,28
492,38,Finance,In-Office,37,8.1,11,Master,Male,Senior,2.0,22
493,47,Sales,In-Office,31,5.1,10,Bachelor,Male,Entry,7.4,17
494,29,Finance,In-Office,45,2.7,6,Master,Female,Mid,9.2,34
495,50,Finance,In-Office,49,8.7,14,Bachelor,Female,Entry,6.9,12
496,47,IT,In-Office,41,8.9,10,Bachelor,Female,Mid,8.0,11
497,31,Marketing,In-Office,35,5.2,15,Master,Male,Senior,4.2,46
498,47,Finance,Remote,30,1.7,2,Master,Female,Mid,2.6,49
499,55,Finance,In-Office,33,4.5,19,Master,Male,Mid,6.8,4
500,62,HR,Remote,46,8.2,13,High School,Male,Mid,3.9,38
501,28,Marketing,Remote,42,9.1,2,High School,Female,Mid,8.7,10
502,25,HR,In-Office,47,2.8,0,Master,Female,Entry,2.1,10
503,32,Marketing,In-Office,34,1.6,20,Bachelor,Female,Entry,4.9,46
504,50,HR,Remote,32,8.9,14,Bachelor,Female,Mid,4.6,41
505,57,Finance,In-Office,40,4.5,0,Master,Female,Mid,9.4,46
506,46,Finance,In-Office,42,5.9,16,Master,Female,Mid,2.4,30
507,42,IT,Remote,33,9.7,1,Master,Female,Entry,1.1,30
508,57,HR,Remote,43,1.6,19,Bachelor,Female,Entry,3.1,12
509,31,Sales,Remote,40,6.8,5,Master,Female,Entry,8.4,13
510,58,IT,In-Office,39,1.7,7,High School,Other,Senior,2.9,48
511,30,HR,Remote,48,4.4,15,High School,Female,Mid,3.2,44
512,45,HR,In-Office,47,8.2,18,Bachelor,Male,Entry,2.2,41
513,56,IT,Remote,35,4.9,0,High School,Female,Entry,7.4,24
514,56,Finance,Remote,44,10.0,2,Bachelor,Male,Manager,1.6,32
515,57,HR,Remote,50,6.0,2,Bachelor,Male,Entry,4.0,32
516,39,Finance,In-Office,39,3.9,4,Bachelor,Male,Senior,3.5,14
517,60,IT,In-Office,34,3.0,11,High School,Female,Entry,6.0,15
518,53,Finance,Remote,34,4.2,11,Bachelor,Female,Senior,7.6,43
519,45,Marketing,Remote,39,4.4,19,Bachelor,Male,Senior,5.8,37
520,44,Sales,Remote,34,1.6,12,Bachelor,Male,Mid,9.4,5
521,53,HR,In-Office,32,4.3,19,Master,Male,Entry,9.6,43
522,58,Sales,Remote,35,5.2,8,Master,Female,Entry,4.3,24
523,33,Finance,In-Office,33,7.5,6,Bachelor,Male,Mid,8.0,14
524,34,HR,Remote,47,6.9,3,Master,Male,Mid,7.6,3
525,44,Finance,Remote,38,7.4,18,High School,Male,Entry,9.0,3
526,46,Marketing,Remote,46,1.1,18,Bachelor,Female,Entry,5.0,29
527,56,IT,Remote,42,3.0,5,Master,Male,Mid,5.8,33
528,62,HR,Remote,44,7.0,12,Bachelor,Female,Mid,4.7,26
529,51,Marketing,Remote,49,5.4,10,PhD,Male,Entry,8.7,30
530,38,Marketing,In-Office,46,1.0,12,Bachelor,Female,Entry,3.1,31
531,41,HR,Remote,42,8.2,12,Master,Male,Manager,3.2,43
532,46,Finance,In-Office,45,8.0,19,Bachelor,Female,Mid,4.4,38
533,43,Marketing,Remote,33,5.9,14,Bachelor,Male,Senior,3.1,8
534,34,Sales,Remote,34,1.6,20,Bachelor,Female,Mid,6.0,40
535,40,Marketing,In-Office,34,7.9,12,Master,Female,Entry,2.2,7
536,57,Finance,Remote,38,6.3,10,Bachelor,Female,Entry,3.9,13
537,33,Finance,In-Office,46,8.0,18,Master,Female,Entry,9.2,32
538,62,Sales,In-Office,42,7.8,7,Bachelor,Male,Senior,4.7,22
539,40,Marketing,Remote,31,8.2,19,High School,Female,Mid,7.7,20
540,33,Finance,In-Office,42,5.7,7,Bachelor,Female,Entry,2.0,11
541,30,HR,In-Office,50,2.3,9,Bachelor,Male,Manager,3.2,1
542,28,IT,Remote,48,7.0,15,Master,Female,Entry,8.3,12
543,49,IT,In-Office,32,6.6,18,Bachelor,Male,Manager,7.9,3
544,35,IT,Remote,39,7.7,10,Bachelor,Male,Manager,4.5,19
545,52,Marketing,Remote,31,2.5,12,Bachelor,Male,Entry,9.6,49
546,40,Sales,Remote,42,2.8,8,Bachelor,Male,Entry,9.2,50
547,37,Finance,Remote,48,9.0,19,Master,Female,Mid,9.7,47
548,26,HR,In-Office,46,7.7,18,Bachelor,Male,Mid,4.9,13
549,56,HR,Remote,50,9.2,15,Bachelor,Male,Mid,2.8,29
550,33,Marketing,Remote,43,7.8,6,PhD,Male,Manager,6.6,28
551,46,IT,In-Office,41,6.4,18,Master,Female,Mid,7.2,7
552,42,Marketing,Remote,50,6.9,11,Bachelor,Female,Entry,2.1,11
553,57,Sales,Remote,41,9.0,14,Bachelor,Male,Entry,8.1,40
554,44,Sales,In-Office,40,6.2,13,Bachelor,Male,Mid,1.2,37
555,37,Finance,In-Office,36,6.7,10,Bachelor,Male,Entry,5.3,25
556,60,Finance,In-Office,33,2.4,9,Master,Female,Senior,4.0,49
557,63,Sales,In-Office,48,5.3,10,Bachelor,Female,Entry,7.7,1
558,60,Sales,In-Office,30,7.4,5,Bachelor,Male,Entry,3.8,39
559,35,Sales,In-Office,32,3.4,1,Bachelor,Male,Entry,8.4,13
560,52,Marketing,In-Office,42,2.8,10,Bachelor,Female,Mid,6.4,5
561,26,Sales,Remote,44,3.8,18,High School,Female,Entry,8.1,41
562,56,HR,In-Office,31,3.2,5,High School,Male,Senior,9.9,39
563,44,IT,In-Office,40,2.9,13,Bachelor,Male,Mid,7.1,30
564,50,Sales,In-Office,33,4.8,19,High School,Male,Senior,9.9,16
565,64,IT,Remote,48,9.2,5,High School,Female,Mid,1.3,24
566,32,Marketing,Remote,46,5.6,16,Bachelor,Female,Entry,4.0,31
567,39,IT,In-Office,32,2.7,9,High School,Female,Senior,2.0,11
568,33,Marketing,In-Office,47,1.7,0,High School,Female,Entry,3.4,48
569,30,HR,In-Office,37,7.3,2,Bachelor,Male,Mid,8.5,12
570,31,Marketing,Remote,48,4.4,7,Bachelor,Female,Entry,1.3,18
571,65,Marketing,Remote,34,8.4,7,Bachelor,Female,Senior,5.7,43
572,38,Finance,In-Office,36,6.9,19,High School,Male,Senior,6.1,47
573,59,Sales,Remote,50,8.2,14,Master,Female,Mid,6.1,24
574,28,Sales,In-Office,37,3.4,6,Master,Male,Mid,5.3,30
575,34,HR,Remote,34,7.2,10,Master,Male,Senior,8.1,36
576,61,HR,Remote,46,3.4,6,Bachelor,Female,Entry,2.2,24
577,63,Sales,In-Office,34,9.5,3,Master,Female,Senior,3.8,15
578,30,Finance,In-Office,33,6.7,11,Bachelor,Female,Entry,6.5,37
579,48,Sales,In-Office,48,3.9,5,High School,Male,Manager,7.2,42
580,23,Finance,In-Office,50,3.4,13,Bachelor,Female,Mid,4.6,48
581,26,HR,Remote,31,2.7,11,Master,Female,Senior,8.9,22
582,50,IT,Remote,40,7.3,10,Bachelor,Male,Mid,4.7,13
583,58,HR,Remote,42,3.0,18,High School,Other,Mid,4.6,5
584,59,HR,In-Office,44,6.4,20,Master,Female,Mid,1.3,24
585,40,Marketing,Remote,41,3.4,4,Master,Male,Entry,6.0,22
586,29,Marketing,In-Office,50,7.0,13,High School,Female,Mid,7.4,42
587,22,Marketing,Remote,40,8.3,20,Bachelor,Male,Mid,2.0,11
588,43,Marketing,In-Office,36,8.0,15,High School,Male,Senior,3.7,12
589,38,Finance,In-Office,34,7.8,12,Master,Male,Mid,8.0,35
590,28,Sales,Remote,46,2.7,19,Bachelor,Other,Entry,4.3,38
591,46,IT,In-Office,49,1.8,3,Bachelor,Male,Entry,3.2,33
592,25,HR,In-Office,38,7.3,10,Master,Female,Mid,7.0,5
593,57,Finance,Remote,43,4.3,16,Bachelor,Male,Entry,2.8,37
594,27,IT,In-Office,41,4.9,6,Bachelor,Female,Entry,9.1,49
595,52,Finance,In-Office,35,1.3,13,Bachelor,Female,Senior,2.0,39
596,40,Finance,In-Office,46,3.3,10,Bachelor,Female,Mid,7.4,7
597,65,HR,Remote,48,1.3,8,Bachelor,Male,Mid,5.5,7
598,60,Sales,Remote,48,8.9,12,High School,Female,Entry,8.8,39
599,48,Marketing,In-Office,45,3.2,17,Bachelor,Other,Mid,2.1,32
600,31,Sales,Remote,41,6.0,10,Bachelor,Female,Entry,7.1,33
601,47,HR,In-Office,41,1.4,14,Bachelor,Female,Mid,6.1,43
602,40,HR,In-Office,49,7.0,18,Master,Female,Entry,5.3,14
603,60,HR,In-Office,35,3.9,0,PhD,Male,Senior,5.4,35
604,24,IT,In-Office,33,9.1,3,Bachelor,Female,Mid,7.5,34
605,34,Sales,In-Office,35,9.0,13,Bachelor,Female,Mid,9.4,45
606,49,Sales,Remote,40,3.9,13,Bachelor,Male,Mid,1.8,21
607,41,Finance,In-Office,30,9.1,2,Master,Male,Mid,1.2,22
608,49,Finance,Remote,44,10.0,16,Bachelor,Male,Entry,8.3,39
609,29,Finance,Remote,40,8.4,2,PhD,Female,Senior,2.0,44
610,62,HR,In-Office,48,8.6,15,Bachelor,Female,Entry,9.9,50
611,60,Sales,In-Office,47,3.2,13,PhD,Male,Senior,6.6,21
612,22,HR,Remote,46,6.2,19,Master,Male,Senior,6.9,4
613,24,IT,Remote,48,1.6,12,Master,Male,Entry,2.8,30
614,34,Finance,Remote,50,1.9,14,Bachelor,Male,Senior,3.2,12
615,49,HR,In-Office,43,10.0,13,High School,Male,Entry,6.9,27
616,46,HR,Remote,47,3.9,18,Bachelor,Female,Entry,9.2,19
617,54,IT,In-Office,48,7.7,5,Bachelor,Male,Manager,9.8,32
618,59,Marketing,In-Office,44,8.3,9,High School,Female,Mid,2.8,15
619,27,Sales,In-Office,44,8.7,14,Bachelor,Female,Mid,2.2,28
620,65,Marketing,Remote,33,10.0,20,Bachelor,Male,Entry,1.5,22
621,53,Finance,In-Office,36,3.2,19,Bachelor,Female,Entry,8.8,23
622,42,HR,In-Office,42,1.4,5,Bachelor,Female,Manager,3.7,33
623,37,IT,In-Office,32,4.7,9,High School,Female,Entry,1.0,6
624,42,IT,In-Office,45,2.2,6,PhD,Male,Entry,3.0,37
625,32,Sales,In-Office,38,1.2,16,High School,Male,Mid,4.1,36
626,58,Marketing,Remote,37,4.2,17,Bachelor,Male,Mid,9.9,3
627,57,Sales,In-Office,49,8.1,16,Bachelor,Male,Mid,5.7,33
628,56,HR,In-Office,42,6.1,8,Master,Male,Entry,2.8,41
629,40,Sales,Remote,46,3.8,9,High School,Male,Entry,4.0,21
630,41,IT,In-Office,46,6.9,9,Bachelor,Male,Entry,4.0,4
631,39,IT,Remote,46,3.1,6,Bachelor,Male,Senior,1.2,49
632,62,Finance,In-Office,30,1.1,15,Bachelor,Male,Entry,2.2,41
633,35,Finance,Remote,37,7.9,17,Bachelor,Male,Senior,7.3,22
634,36,HR,Remote,48,6.6,5,Master,Other,Senior,2.1,14
635,52,Marketing,In-Office,35,7.9,19,PhD,Male,Senior,3.1,30
636,22,Sales,In-Office,32,1.4,0,High School,Female,Senior,4.2,8
637,24,HR,In-Office,34,8.5,0,Bachelor,Male,Entry,7.8,42
638,37,Finance,Remote,42,6.6,11,Bachelor,Female,Entry,6.2,24
639,44,Sales,Remote,44,6.1,20,Bachelor,Male,Mid,7.2,24
640,32,Finance,Remote,43,6.6,1,Bachelor,Female,Entry,6.1,48
641,33,Sales,In-Office,45,8.8,3,Bachelor,Female,Mid,7.2,20
642,31,Marketing,Remote,47,6.3,16,PhD,Male,Mid,1.0,8
643,53,HR,Remote,40,6.2,3,Master,Female,Senior,9.4,47
644,37,Sales,In-Office,32,9.9,10,High School,Female,Entry,2.0,37
645,29,IT,Remote,39,7.8,3,Bachelor,Male,Senior,4.7,21
646,59,IT,Remote,39,5.0,0,Bachelor,Female,Entry,7.9,42
647,33,Sales,In-Office,50,7.4,6,Bachelor,Female,Mid,4.9,22
648,45,Sales,Remote,45,4.5,17,Bachelor,Female,Mid,9.5,48
649,49,Sales,In-Office,41,3.1,8,Bachelor,Male,Senior,5.2,3
650,29,IT,In-Office,31,6.4,2,Master,Female,Mid,8.9,28
651,49,IT,In-Office,38,9.4,7,Master,Female,Senior,8.3,14
652,57,Sales,In-Office,32,9.4,18,Bachelor,Female,Senior,9.8,0
653,47,Finance,In-Office,44,4.1,3,Bachelor,Female,Senior,9.3,29
654,29,Finance,Remote,32,5.7,17,Bachelor,Male,Entry,9.1,28
655,49,Marketing,Remote,48,2.9,19,Bachelor,Female,Senior,7.6,19
656,49,HR,In-Office,47,10.0,10,Bachelor,Male,Senior,4.3,32
657,58,Finance,In-Office,37,9.8,13,High School,Male,Entry,2.0,40
658,62,IT,Remote,46,6.8,17,Bachelor,Female,Entry,7.2,43
659,57,Finance,In-Office,37,8.2,15,Bachelor,Female,Entry,9.8,35
660,48,Marketing,In-Office,36,7.4,2,Master,Male,Entry,7.5,21
661,38,Marketing,In-Office,36,6.3,14,Bachelor,Female,Mid,9.4,12
662,30,HR,Remote,32,1.5,3,Bachelor,Male,Manager,8.2,6
663,54,Finance,Remote,30,5.1,4,Bachelor,Male,Mid,2.5,7
664,41,IT,In-Office,33,7.1,16,Bachelor,Female,Mid,3.2,27
665,34,IT,In-Office,34,7.1,6,High School,Male,Manager,4.1,44
666,49,Sales,Remote,30,4.4,15,PhD,Male,Entry,2.5,42
667,50,IT,Remote,44,9.5,13,Master,Male,Senior,6.2,8
668,34,HR,In-Office,34,2.5,15,Bachelor,Female,Mid,9.8,24
669,56,HR,In-Office,42,5.5,6,Bachelor,Male,Mid,7.9,15
670,27,IT,Remote,37,7.2,8,High School,Male,Entry,4.8,9
671,39,IT,Remote,37,7.3,3,Bachelor,Female,Mid,1.0,10
672,26,Sales,Remote,34,6.8,10,Master,Female,Entry,3.8,30
673,46,IT,In-Office,38,3.5,1,High School,Male,Senior,5.7,11
674,23,Sales,Remote,30,2.4,11,Bachelor,Female,Entry,3.9,30
675,31,Sales,In-Office,33,6.7,11,Bachelor,Male,Senior,2.0,13
676,51,IT,Remote,32,6.4,3,Bachelor,Other,Entry,5.0,50
677,26,Marketing,Remote,31,2.6,17,Master,Male,Entry,3.3,43
678,54,Marketing,Remote,37,7.3,20,High School,Male,Mid,9.2,31
679,22,Sales,Remote,38,5.1,6,Master,Male,Entry,1.9,49
680,39,IT,In-Office,31,7.0,0,Bachelor,Male,Senior,1.4,16
681,53,Marketing,In-Office,43,8.5,12,Master,Female,Manager,1.0,34
682,32,IT,Remote,43,2.5,5,Bachelor,Male,Senior,4.0,0
683,42,IT,In-Office,33,1.2,5,Bachelor,Male,Entry,6.9,28
684,47,IT,Remote,35,8.0,11,Master,Female,Mid,7.6,50
685,46,Finance,Remote,40,6.5,7,Bachelor,Female,Mid,5.1,3
686,43,IT,Remote,32,7.3,18,Bachelor,Male,Senior,7.2,22
687,48,Finance,Remote,37,8.5,4,Bachelor,Male,Entry,4.2,27
688,34,Sales,In-Office,32,8.2,17,Master,Male,Mid,7.0,15
689,54,Marketing,Remote,43,9.6,4,Bachelor,Male,Mid,1.4,11
690,55,Marketing,Remote,42,5.8,9,Master,Male,Entry,4.5,20
691,62,Marketing,In-Office,42,5.4,0,Bachelor,Female,Entry,8.1,44
692,56,Marketing,Remote,31,4.6,9,Bachelor,Female,Mid,8.2,16
693,22,Marketing,Remote,42,2.4,4,Master,Male,Senior,7.4,39
694,42,Marketing,Remote,48,6.2,11,Bachelor,Male,Senior,2.8,12
695,27,Marketing,In-Office,35,3.5,6,Master,Male,Mid,3.2,31
696,49,Sales,Remote,45,9.3,8,PhD,Male,Entry,10.0,36
697,38,IT,In-Office,31,6.2,20,Bachelor,Male,Entry,1.9,49
698,26,HR,Remote,37,6.3,11,High School,Female,Manager,2.6,14
699,52,Finance,Remote,46,4.2,0,High School,Female,Manager,2.2,11
700,26,HR,In-Office,31,1.5,10,Master,Other,Senior,3.9,48
701,59,HR,Remote,39,1.3,20,Master,Female,Senior,2.9,14
702,24,IT,Remote,45,4.8,14,Bachelor,Male,Entry,5.5,33
703,44,IT,In-Office,35,1.8,1,High School,Female,Senior,5.3,5
704,58,IT,In-Office,31,6.5,19,High School,Male,Mid,9.1,16
705,58,Marketing,In-Office,31,8.9,6,Master,Male,Entry,1.3,47
706,31,Sales,In-Office,42,8.9,20,Bachelor,Female,Mid,3.9,48
707,31,Marketing,In-Office,44,6.9,11,Bachelor,Male,Entry,6.4,19
708,40,Sales,Remote,31,2.9,17,Bachelor,Female,Entry,6.4,8
709,38,Sales,In-Office,36,8.8,2,Master,Male,Mid,5.3,4
710,42,HR,Remote,32,9.0,6,Bachelor,Female,Mid,8.3,22
711,35,HR,Remote,37,2.8,10,Bachelor,Female,Senior,1.6,32
712,30,Sales,Remote,43,7.6,17,High School,Female,Entry,8.3,37
713,22,Sales,In-Office,36,3.6,11,Bachelor,Female,Entry,5.5,13
714,34,Marketing,In-Office,50,8.2,5,Master,Male,Entry,2.2,16
715,25,Marketing,Remote,36,10.0,4,PhD,Female,Entry,9.0,18
716,22,HR,In-Office,30,1.3,0,Bachelor,Other,Entry,6.8,32
717,61,IT,In-Office,46,9.1,11,High School,Female,Mid,2.5,0
718,53,Sales,In-Office,38,6.6,10,High School,Female,Mid,1.3,12
719,55,Marketing,In-Office,50,9.8,3,Bachelor,Female,Senior,2.3,45
720,49,HR,Remote,42,5.2,17,Master,Female,Manager,6.5,26
721,52,Marketing,Remote,50,8.6,3,High School,Female,Mid,2.6,5
722,29,Sales,In-Office,48,1.6,16,Bachelor,Female,Entry,3.0,5
723,60,Sales,Remote,50,4.0,1,Bachelor,Female,Entry,1.2,32
724,47,Finance,In-Office,48,1.6,1,High School,Male,Senior,7.5,29
725,55,IT,In-Office,46,9.8,11,Bachelor,Male,Mid,8.3,45
726,24,Finance,Remote,39,8.4,5,Bachelor,Male,Senior,8.2,34
727,33,HR,Remote,39,8.7,9,Bachelor,Male,Senior,2.1,22
728,22,Marketing,Remote,33,9.4,20,Master,Male,Senior,9.1,9
729,65,HR,In-Office,37,1.8,15,Bachelor,Female,Senior,7.1,50
730,26,Sales,Remote,49,4.5,13,High School,Male,Mid,9.1,18
731,51,Finance,In-Office,49,1.6,6,PhD,Male,Entry,5.0,50
732,51,Finance,Remote,47,2.9,18,Bachelor,Female,Manager,4.9,27
